title,description,service_name,category,severity
portal-api cannot resolve a required hostname,Intermittent packet loss interrupts requests to an upstream service. Customer requests fail repeatedly and engineer investigation is needed.,portal-api,network,high
automation-api has a multi factor authentication problem,A service account cannot authenticate to a required dependency. The service is unavailable for customers and there is no working workaround.,automation-api,authentication,critical
reporting-api returns invalid response data,The service fails while processing a normal customer request. The issue affects a noncritical workflow with no data loss.,reporting-api,application_error,low
analytics-api cannot write records to PostgreSQL,The database cannot accept a new write from the application. The issue affects an important feature but a temporary workaround exists.,analytics-api,database,medium
portal-api cannot reach an upstream service,DNS resolution fails for an internal service hostname. Customer requests fail repeatedly and engineer investigation is needed.,portal-api,network,high
identity-api has a multi factor authentication problem,The identity provider rejects a token that should be valid. All users are blocked from a critical workflow and immediate escalation is required.,identity-api,authentication,critical
orders-api has an exception during request handling,The service fails while processing a normal customer request. Users can continue working after a short delay.,orders-api,application_error,low
billing-api reports a database resource problem,A required database transaction is rolled back unexpectedly. The issue affects an important feature but a temporary workaround exists.,billing-api,database,medium
gateway-api has intermittent network failures,Network requests time out before an upstream response arrives. A large group of users cannot complete the affected workflow.,gateway-api,network,high
portal-api rejects valid access tokens,A credential verification request fails before login completes. All users are blocked from a critical workflow and immediate escalation is required.,portal-api,authentication,critical
billing-api request processing fails,The service fails while processing a normal customer request. A small number of requests are affected and retrying usually succeeds.,billing-api,application_error,low
payment-api reports a database resource problem,The database cannot accept a new write from the application. The service remains available but some requests fail.,payment-api,database,medium
portal-api requests fail through the API gateway,The service cannot establish a connection to its required dependency. A large group of users cannot complete the affected workflow.,portal-api,network,high
billing-api has an authentication validation error,The multi factor authentication step cannot be completed. The service is unavailable for customers and there is no working workaround.,billing-api,authentication,critical
reporting-api cannot complete a customer workflow,A recent code path returns an invalid response to callers. A small number of requests are affected and retrying usually succeeds.,reporting-api,application_error,low
inventory-api database operation is timing out,PostgreSQL has no available connections for the service. Multiple users experience delays and the affected workflow is degraded.,inventory-api,database,medium
notification-api requests fail through the API gateway,The service cannot establish a connection to its required dependency. The incident has significant business impact and requires fast action.,notification-api,network,high
identity-api rejects valid access tokens,The identity provider rejects a token that should be valid. A production-critical operation is failing for every affected request.,identity-api,authentication,critical
catalog-api returns unexpected server errors,A recent code path returns an invalid response to callers. A small number of requests are affected and retrying usually succeeds.,catalog-api,application_error,low
billing-api database operation is timing out,A required database transaction is rolled back unexpectedly. The service remains available but some requests fail.,billing-api,database,medium
checkout-api has intermittent network failures,Intermittent packet loss interrupts requests to an upstream service. Customer requests fail repeatedly and engineer investigation is needed.,checkout-api,network,high
automation-api cannot verify user credentials,A credential verification request fails before login completes. A production-critical operation is failing for every affected request.,automation-api,authentication,critical
reporting-api cannot complete a customer workflow,The service logs repeated internal errors for the same workflow. Users can continue working after a short delay.,reporting-api,application_error,low
payment-api reports a database resource problem,PostgreSQL has no available connections for the service. Multiple users experience delays and the affected workflow is degraded.,payment-api,database,medium
portal-api cannot resolve a required hostname,The service cannot establish a connection to its required dependency. A large group of users cannot complete the affected workflow.,portal-api,network,high
admin-api rejects valid access tokens,A service account cannot authenticate to a required dependency. All users are blocked from a critical workflow and immediate escalation is required.,admin-api,authentication,critical
orders-api returns unexpected server errors,An application dependency returns data the service cannot process. The issue affects a noncritical workflow with no data loss.,orders-api,application_error,low
billing-api database operation is timing out,The database cannot accept a new write from the application. Multiple users experience delays and the affected workflow is degraded.,billing-api,database,medium
portal-api cannot resolve a required hostname,Network requests time out before an upstream response arrives. The incident has significant business impact and requires fast action.,portal-api,network,high
automation-api users cannot complete sign in,The identity provider rejects a token that should be valid. The service is unavailable for customers and there is no working workaround.,automation-api,authentication,critical
billing-api request processing fails,An application dependency returns data the service cannot process. A small number of requests are affected and retrying usually succeeds.,billing-api,application_error,low
billing-api database queries are failing,A database query exceeds its allowed execution time. The issue affects an important feature but a temporary workaround exists.,billing-api,database,medium
portal-api cannot reach an upstream service,The service cannot establish a connection to its required dependency. A large group of users cannot complete the affected workflow.,portal-api,network,high
portal-api has a multi factor authentication problem,A service account cannot authenticate to a required dependency. The service is unavailable for customers and there is no working workaround.,portal-api,authentication,critical
reporting-api returns unexpected server errors,An application dependency returns data the service cannot process. Users can continue working after a short delay.,reporting-api,application_error,low
inventory-api database operation is timing out,The database cannot accept a new write from the application. The service remains available but some requests fail.,inventory-api,database,medium
checkout-api requests fail through the API gateway,The gateway reports failed connections between services. A large group of users cannot complete the affected workflow.,checkout-api,network,high
billing-api users cannot complete sign in,The multi factor authentication step cannot be completed. A production-critical operation is failing for every affected request.,billing-api,authentication,critical
catalog-api returns invalid response data,The service fails while processing a normal customer request. A small number of requests are affected and retrying usually succeeds.,catalog-api,application_error,low
payment-api database queries are failing,A required database transaction is rolled back unexpectedly. The service remains available but some requests fail.,payment-api,database,medium
gateway-api cannot resolve a required hostname,Intermittent packet loss interrupts requests to an upstream service. A large group of users cannot complete the affected workflow.,gateway-api,network,high
admin-api cannot verify user credentials,A service account cannot authenticate to a required dependency. A production-critical operation is failing for every affected request.,admin-api,authentication,critical
reporting-api cannot complete a customer workflow,A recent code path returns an invalid response to callers. Users can continue working after a short delay.,reporting-api,application_error,low
analytics-api database operation is timing out,PostgreSQL has no available connections for the service. The issue affects an important feature but a temporary workaround exists.,analytics-api,database,medium
identity-api requests fail through the API gateway,Network requests time out before an upstream response arrives. Customer requests fail repeatedly and engineer investigation is needed.,identity-api,network,high
identity-api rejects valid access tokens,A credential verification request fails before login completes. The service is unavailable for customers and there is no working workaround.,identity-api,authentication,critical
reporting-api cannot complete a customer workflow,An application dependency returns data the service cannot process. Users can continue working after a short delay.,reporting-api,application_error,low
payment-api database operation is timing out,PostgreSQL has no available connections for the service. The issue affects an important feature but a temporary workaround exists.,payment-api,database,medium
identity-api cannot resolve a required hostname,The service cannot establish a connection to its required dependency. Customer requests fail repeatedly and engineer investigation is needed.,identity-api,network,high
billing-api users cannot complete sign in,A service account cannot authenticate to a required dependency. The service is unavailable for customers and there is no working workaround.,billing-api,authentication,critical
reporting-api returns unexpected server errors,A recent code path returns an invalid response to callers. Users can continue working after a short delay.,reporting-api,application_error,low
inventory-api reports a database resource problem,The connection pool is exhausted during normal traffic. The service remains available but some requests fail.,inventory-api,database,medium
notification-api cannot reach an upstream service,DNS resolution fails for an internal service hostname. Customer requests fail repeatedly and engineer investigation is needed.,notification-api,network,high
billing-api rejects valid access tokens,A credential verification request fails before login completes. The service is unavailable for customers and there is no working workaround.,billing-api,authentication,critical
